Child DCN,Child MOSIS ID,RefPersonRelationshipType.Description,RelatedPerson LastName,RelatedPerson FirstName,RelatedPerson MiddleName,RelatedPerson GenerationCode,RelatedPerson BirthDate,RelatedPerson PostalCode,RelatedPerson AddressCountyName,RelatedPerson City,RelatedPerson RefSex.Description,RelatedPerson HispanicLatinoEthnicity,RelatedPerson RefEmploymentStatus.Description,RelatedPerson EmploymentStatusDate
0000000001,000001,Father,Walker,Shaun,,,2007-04-29,65418,BUTLER,Lake Joyside,Male,Yes,Unemployed,2023-03-28
0000000001,000001,Mother,Walker,Ashley,Heather,,2005-10-10,65418,BUTLER,Lake Joyside,Female,Yes,Not in Labor Force,2022-08-24
0000000002,000002,Grandfather,Payne,Nicholas,James,,2007-05-29,64881,BARTON,New Jamesside,Male,Yes,Employed,2025-07-04
0000000003,000003,Stepmother,Booth,Jennifer,Kathryn,,1991-01-06,65600,PEMISCOT,Lake Roberto,Female,Yes,Unemployed,2024-12-11
0000000003,000003,Foster father,Sosa,Paul,Michael,,2005-12-22,65600,PEMISCOT,Lake Roberto,Male,Yes,Employed,2024-03-27
0000000004,000004,Aunt,Bonilla,Caroline,,,1993-02-09,64754,OREGON,Davisstad,Female,Yes,Employed,2026-01-30
0000000004,000004,Stepmother,Garcia,Stacy,Nicole,,1996-01-02,64754,OREGON,Davisstad,Female,No,Employed,2025-02-19
0000000005,000005,Aunt,Ward,Marie,Susan,,1989-12-03,64202,CAMDEN,Millerport,Female,Yes,Employed,2023-04-17
0000000005,000005,Foster mother,Miller,Michelle,Jennifer,,1995-07-06,64202,CAMDEN,Millerport,Female,Yes,Unemployed,2022-07-09
0000000006,000006,Court appointed guardian,Perez,Samuel,William,,1995-01-28,63283,STONE,North Donnaport,Male,Yes,Employed,2025-07-02
0000000006,000006,Foster father,Martinez,Joshua,Joshua,,1992-03-03,63283,STONE,North Donnaport,Male,Yes,Employed,2022-02-09
0000000007,000007,Court appointed guardian,Ballard,John,Kevin,,1994-09-06,63290,ADAIR,Ramirezstad,Male,No,Employed,2025-02-08
0000000007,000007,Mother,Delacruz,Christina,,,2006-11-05,63290,ADAIR,Ramirezstad,Female,Yes,Unemployed,2024-03-02
