Child DCN,Child MOSIS ID,LastName,FirstName,MiddleName,GenerationCode,BirthDate,PostalCode,AddressCountyName,City,ResponsibleOrganizationIdentifier,RefSex.Description,RefRace.Description,HispanicLatinoEthnicity,FosterCareStartDate,FosterCareEndDate,ChildAbuseNeglect,RefLanguage.Description,HomelessnessStatus,MigrantStatus,RefParentMaritalStatus.Description,FamilyMemberIncarcerated,FamilyMemberSubstanceUseAbuse,LossOfParent,PercentOfFederalPovertyLevel,FamilyIncome,NumberOfPeopleInFamily,HouseholdMemberDepressedOrMentallyIll,WeightAtBirth,WeeksOfGestation,num_participation_episodes,total_attendance_days,num_enrollment_gaps,max_gap_days,has_gap_over_6mo,avg_attendance_days,num_screenings_completed,screening_completion_rate,num_immunizations,immunization_compliance_rate,missed_screening,has_disability,has_outcomes_data,avg_cos_rating,low_outcomes,homelessness_flag,migrant_flag,abuse_flag,incarcerated_flag,substance_flag,depression_flag,loss_parent_flag,in_foster_care,deep_poverty,num_household_stressors,stability_score,engagement_score,developmental_score,context_score,composite_risk_score,risk_tier,programs_enrolled,total_enrollments
1,1,Walker,Alexander,Donald,,2018-12-09,65418,BUTLER,Lake Joyside,12433,Male,White,No,,,False,English,True,False,Separated,False,False,False,193,26515,7,False,3365,39,1,31,0,0,False,31.0,4,0.6666666666666666,18,1.0,False,False,True,4.0,False,True,False,False,False,False,False,False,True,False,0,20,51.66666666666667,0,45,27.916666666666668,Moderate,Early Intervention,1
2,2,Robinson,Javier,Allen,,2019-06-04,64881,BARTON,New Jamesside,6550,Male,White,No,,,False,French,False,False,Divorced,False,False,False,310,85535,5,False,3069,40,3,227,2,95,False,75.66666666666667,5,0.8333333333333334,21,1.0,False,False,True,5.25,False,False,False,False,False,False,False,False,True,False,0,30,45.83333333333333,0,20,24.458333333333332,Moderate,"Home Visiting, Childcare Subsidy",3
3,3,Booth,Joann,Diana,,2020-03-12,65600,PEMISCOT,Lake Roberto,78176,Female,White,No,,,False,English,False,False,Separated,False,False,False,192,27196,6,False,2122,38,2,138,1,34,False,69.0,4,0.6666666666666666,18,1.0,False,False,True,5.0,False,False,False,False,False,False,False,False,True,False,0,15,51.66666666666667,0,20,21.416666666666668,Low,Childcare Subsidy,2
4,4,Garcia,Daniel,Phillip,,2021-11-15,64754,OREGON,Davisstad,75920,Male,White,No,,,False,English,False,False,Single,False,False,False,176,22978,6,False,3014,41,1,19,0,0,False,19.0,1,0.16666666666666666,16,1.0,True,False,True,4.25,False,False,False,False,False,False,False,False,True,False,0,20,69.16666666666667,0,20,27.291666666666668,Moderate,Early Intervention,1
5,5,Herrera,Robert,Nicholas,,2018-11-24,64202,CAMDEN,Millerport,15446,Male,White,No,2020-09-15,2022-04-11,False,English,False,False,Divorced,True,False,False,64,24967,6,False,3163,40,1,24,0,0,False,24.0,4,0.6666666666666666,13,1.0,False,True,True,2.25,True,False,False,False,True,False,False,False,True,True,1,20,51.66666666666667,75,50,47.66666666666667,High,First Steps,1
6,6,Ray,Luke,Scott,,2020-05-08,63283,STONE,North Donnaport,105779,Male,Black or African American,No,,,False,English,False,False,Single,False,False,False,192,62370,7,False,3830,39,1,157,0,0,False,157.0,5,0.8333333333333334,22,1.0,False,False,True,5.5,False,False,False,False,False,False,False,False,True,False,0,0,5.833333333333332,0,20,5.458333333333333,Low,Early Head Start,1
7,7,Delacruz,Scott,,,2021-02-08,63290,ADAIR,Ramirezstad,1725,Male,White,No,,,False,English,False,False,Single,False,False,False,68,36847,5,False,2889,37,2,219,0,0,False,109.5,3,0.5,14,1.0,True,True,True,4.0,False,False,False,False,False,False,False,False,True,True,0,0,17.5,40,45,23.375,Low,Childcare Subsidy,2
8,8,Miles,Heather,Meagan,,2021-06-14,63248,CALDWELL,New Cynthiaside,13413,Female,White,No,,,False,English,False,False,Divorced,False,False,False,287,74400,2,False,3835,41,1,30,0,0,False,30.0,6,1.0,19,1.0,False,False,True,5.25,False,False,False,False,False,False,False,False,True,False,0,20,40.0,0,20,20.0,Low,First Steps,1
9,9,Mayo,Carla,Jamie,,2018-04-06,63008,JASPER,Lake Mark,49400,Female,White,No,,,False,English,False,False,Married,False,False,False,93,18211,2,True,1851,41,2,87,0,0,False,43.5,4,0.6666666666666666,10,0.8333333333333334,False,False,True,2.0,True,False,False,False,False,False,True,False,True,True,1,20,55.833333333333336,35,50,38.708333333333336,High,"Early Intervention, Child Care",2
10,10,Trujillo,Anthony,Rodney,,2019-01-17,63491,KNOX,Adamsborough,52965,Male,Black or African American,No,,,False,English,False,False,Married,False,False,False,157,41540,5,False,3147,37,1,106,0,0,False,106.0,4,0.6666666666666666,16,1.0,False,False,True,2.5,True,False,False,False,False,False,False,False,True,False,0,0,11.666666666666668,35,20,15.666666666666668,Low,Childcare Subsidy,1
11,11,Lewis,Keith,Mitchell,,2018-02-18,64513,DEKALB,Fostermouth,32292,Male,White,No,,,False,English,False,False,Divorced,False,False,False,356,87858,7,False,3633,38,2,337,0,0,False,168.5,6,1.0,21,1.0,False,False,True,5.5,False,False,False,False,False,False,False,False,True,False,0,0,0.0,0,20,4.0,Low,"Early Head Start, State Pre-K",2
12,12,Ryan,Charles,Patrick,,2019-12-11,63208,VERNON,Hurstfurt,109095,Male,White,No,,,False,English,False,False,Separated,False,False,False,183,86753,6,False,2573,39,1,199,0,0,False,199.0,6,1.0,22,1.0,False,False,True,5.75,False,False,False,False,False,False,False,False,True,False,0,0,0.0,0,20,4.0,Low,Child Care,1
13,13,Snyder,Zachary,Charles,,2019-07-05,63860,HOWELL,Port Danielburgh,46699,Male,White,No,,,False,English,False,False,Separated,False,False,False,154,40337,7,False,4393,39,1,12,0,0,False,12.0,6,1.0,15,1.0,False,False,True,3.0,True,False,False,False,False,False,False,False,True,False,0,20,40.0,35,20,28.75,Moderate,Home Visiting,1
