Child DCN,Child MOSIS ID,RefPersonRelationshipType.Description,RelatedPerson LastName,RelatedPerson FirstName,RelatedPerson MiddleName,RelatedPerson GenerationCode,RelatedPerson BirthDate,RelatedPerson PostalCode,RelatedPerson AddressCountyName,RelatedPerson City,RelatedPerson RefSex.Description,RelatedPerson HispanicLatinoEthnicity,RelatedPerson RefEmploymentStatus.Description,RelatedPerson EmploymentStatusDate,RelatedPerson HighestEducationLevel
0000000001,000001,Father,Walker,Shaun,,,2007-05-18,65418,BUTLER,Lake Joyside,Male,Yes,Unemployed,2023-04-15,"Some college, no degree"
0000000001,000001,Mother,Walker,Ashley,,,1983-08-21,65418,BUTLER,Lake Joyside,Female,Yes,Employed,2025-11-22,High school diploma or equivalent
0000000002,000002,Stepmother,Robinson,Elizabeth,Monica,,1984-11-20,64881,BARTON,New Jamesside,Female,No,Part-time,2023-12-10,Associate's degree
0000000003,000003,Grandmother,Foster,Veronica,Sheila,,1989-04-15,65600,PEMISCOT,Lake Roberto,Female,Yes,Employed,2023-12-13,High school diploma or equivalent
0000000003,000003,Aunt,Dominguez,Norma,Nichole,,2006-07-11,65600,PEMISCOT,Lake Roberto,Female,Yes,Employed,2025-12-02,"Some college, no degree"
0000000004,000004,Aunt,Jackson,Lisa,,,2007-02-20,64754,OREGON,Davisstad,Female,No,Employed,2024-03-23,"Some college, no degree"
0000000004,000004,Adoptive parent,Molina,William,Steve,,1996-01-20,64754,OREGON,Davisstad,Male,Yes,Not in Labor Force,2025-03-09,"Some college, no degree"
0000000005,000005,Court appointed guardian,Ward,Matthew,Terry,,1989-12-21,64202,CAMDEN,Millerport,Male,Yes,Employed,2023-05-05,High school diploma or equivalent
0000000005,000005,Foster father,Miller,Michael,Jason,,1995-07-25,64202,CAMDEN,Millerport,Male,Yes,Unemployed,2022-07-27,"Some college, no degree"
0000000006,000006,Grandfather,Proctor,Samuel,,,1978-11-12,63283,STONE,North Donnaport,Male,Yes,Employed,2024-06-26,High school diploma or equivalent
0000000006,000006,Mother,Ray,Sheila,Kimberly,,1990-11-24,63283,STONE,North Donnaport,Female,No,Employed,2021-10-23,"Some college, no degree"
0000000007,000007,Court appointed guardian,Harrison,Kerry,Connor,,1992-06-17,63290,ADAIR,Ramirezstad,Male,Yes,Employed,2025-03-24,"Some college, no degree"
0000000007,000007,Foster Parent,Harris,Matthew,Richard,,2006-11-24,63290,ADAIR,Ramirezstad,Male,Yes,Employed,2024-03-20,High school diploma or equivalent
0000000008,000008,Father,Miles,Richard,,,1994-03-18,63248,CALDWELL,New Cynthiaside,Male,No,Not in Labor Force,2024-04-03,High school diploma or equivalent
0000000008,000008,Foster mother,Nunez,Renee,Anna,,1976-03-14,63248,CALDWELL,New Cynthiaside,Female,Yes,Part-time,2025-11-09,"Some college, no degree"
0000000009,000009,Stepfather,Mayo,Alexis,James,,1973-11-05,63008,JASPER,Lake Mark,Male,Yes,Unemployed,2025-01-10,"Some college, no degree"
0000000010,000010,Foster Parent,Hernandez,Christopher,Aaron,,1992-03-30,63491,KNOX,Adamsborough,Male,Yes,Part-time,2023-01-09,High school diploma or equivalent
0000000011,000011,Foster Parent,Allen,Daniel,Timothy,,2001-08-05,64513,DEKALB,Fostermouth,Male,No,Employed,2024-05-23,Associate's degree
0000000011,000011,Adoptive parent,Carter,Michael,Michael,,1970-05-23,64513,DEKALB,Fostermouth,Male,No,Part-time,2023-12-21,Graduate or professional degree
0000000012,000012,Court appointed guardian,White,Bobby,John,,1974-11-07,63208,VERNON,Hurstfurt,Male,No,Employed,2024-03-06,High school diploma or equivalent
0000000012,000012,Adoptive parent,Bass,Jeffery,Cody,,1977-02-27,63208,VERNON,Hurstfurt,Male,Yes,Employed,2022-12-11,"Some college, no degree"
0000000013,000013,Father,Snyder,Albert,Ryan,,1979-07-07,63860,HOWELL,Port Danielburgh,Male,Yes,Employed,2024-07-09,Graduate or professional degree
0000000013,000013,Court appointed guardian,Reid,Jesus,,,1985-05-13,63860,HOWELL,Port Danielburgh,Male,Yes,Unemployed,2024-01-31,Associate's degree
0000000014,000014,Stepfather,James,Michael,Adam,,1970-06-04,63158,WAYNE,Riceside,Male,No,Employed,2021-09-24,"Some college, no degree"
0000000014,000014,Stepmother,James,Lauren,Yolanda,,1998-08-28,63158,WAYNE,Riceside,Female,No,Employed,2025-12-17,High school diploma or equivalent
