CollectionVersion,CurrentSchoolYear,ReportingDistrictCode,ReportingSchoolCode,StateID,LocalStudentID,LastName,FirstName,MiddleName,Suffix,DateOfBirth,StudentGradeLevel,Gender,RaceEthnicity,Assessment,TstMethod,EDFirstName,EDLastName,Subject,Period,Sort,ExaminerEmail,ScaleScore,PerformanceLevel,Grade3ReadingBand
2026MAPSPR1.0AsmPre,2025,012433,2679,0000000001,L0000000001,Walker,Alexander,Donald,,2018-12-09,02,M,W,MAP,CBT,Test,Administrator,Reading,Spring,1,testadmin@school.edu,199,Proficient,
2026MAPSPR1.0AsmPre,2025,012433,2679,0000000001,L0000000001,Walker,Alexander,Donald,,2018-12-09,02,M,W,MAP,CBT,Test,Administrator,Math,Spring,1,testadmin@school.edu,213,Advanced,
2026MAPSPR1.0AsmPre,2026,012433,2424,0000000001,L0000000001,Walker,Alexander,Donald,,2018-12-09,03,M,W,MAP,CBT,Test,Administrator,Reading,Spring,1,testadmin@school.edu,220,Advanced,Above Grade Level
2026MAPSPR1.0AsmPre,2026,012433,2424,0000000001,L0000000001,Walker,Alexander,Donald,,2018-12-09,03,M,W,MAP,CBT,Test,Administrator,Math,Spring,1,testadmin@school.edu,223,Proficient,
2026MAPSPR1.0AsmPre,2025,006550,9928,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,K,M,W,MAP,CBT,Test,Administrator,Reading,Spring,1,testadmin@school.edu,173,Advanced,
2026MAPSPR1.0AsmPre,2025,006550,9928,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,K,M,W,MAP,CBT,Test,Administrator,Math,Spring,1,testadmin@school.edu,182,Advanced,
2026MAPSPR1.0AsmPre,2026,006550,3615,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,01,M,W,MAP,CBT,Test,Administrator,Reading,Spring,1,testadmin@school.edu,194,Advanced,
2026MAPSPR1.0AsmPre,2026,006550,3615,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,01,M,W,MAP,CBT,Test,Administrator,Math,Spring,1,testadmin@school.edu,188,Proficient,
2026MAPSPR1.0AsmPre,2026,078176,8527,0000000003,L0000000003,Booth,Joann,Diana,,2020-03-12,K,F,W,MAP,CBT,Test,Administrator,Reading,Spring,1,testadmin@school.edu,169,Proficient,
2026MAPSPR1.0AsmPre,2026,078176,8527,0000000003,L0000000003,Booth,Joann,Diana,,2020-03-12,K,F,W,MAP,CBT,Test,Administrator,Math,Spring,1,testadmin@school.edu,176,Advanced,
2026MAPSPR1.0AsmPre,2024,015446,4814,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,01,M,W,MAP,CBT,Test,Administrator,Reading,Spring,1,testadmin@school.edu,167,Below Basic,
2026MAPSPR1.0AsmPre,2024,015446,4814,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,01,M,W,MAP,CBT,Test,Administrator,Math,Spring,1,testadmin@school.edu,184,Basic,
2026MAPSPR1.0AsmPre,2025,015446,6977,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,02,M,W,MAP,CBT,Test,Administrator,Reading,Spring,1,testadmin@school.edu,184,Below Basic,
2026MAPSPR1.0AsmPre,2025,015446,6977,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,02,M,W,MAP,CBT,Test,Administrator,Math,Spring,1,testadmin@school.edu,200,Proficient,
2026MAPSPR1.0AsmPre,2026,015446,5374,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,03,M,W,MAP,CBT,Test,Administrator,Reading,Spring,1,testadmin@school.edu,194,Below Basic,Well Below Grade Level
2026MAPSPR1.0AsmPre,2026,015446,5374,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,03,M,W,MAP,CBT,Test,Administrator,Math,Spring,1,testadmin@school.edu,202,Below Basic,
2026MAPSPR1.0AsmPre,2026,105779,4598,0000000006,L0000000006,Ray,Luke,Scott,,2020-05-08,K,M,B,MAP,CBT,Test,Administrator,Reading,Spring,1,testadmin@school.edu,169,Proficient,
2026MAPSPR1.0AsmPre,2026,105779,4598,0000000006,L0000000006,Ray,Luke,Scott,,2020-05-08,K,M,B,MAP,CBT,Test,Administrator,Math,Spring,1,testadmin@school.edu,177,Advanced,
2026MAPSPR1.0AsmPre,2024,049400,7543,0000000009,L0000000009,Mayo,Carla,Jamie,,2018-04-06,01,F,W,MAP,CBT,Test,Administrator,Reading,Spring,1,testadmin@school.edu,163,Below Basic,
2026MAPSPR1.0AsmPre,2024,049400,7543,0000000009,L0000000009,Mayo,Carla,Jamie,,2018-04-06,01,F,W,MAP,CBT,Test,Administrator,Math,Spring,1,testadmin@school.edu,165,Below Basic,
2026MAPSPR1.0AsmPre,2026,049400,3621,0000000009,L0000000009,Mayo,Carla,Jamie,,2018-04-06,03,F,W,MAP,CBT,Test,Administrator,Reading,Spring,1,testadmin@school.edu,197,Below Basic,Well Below Grade Level
2026MAPSPR1.0AsmPre,2026,049400,3621,0000000009,L0000000009,Mayo,Carla,Jamie,,2018-04-06,03,F,W,MAP,CBT,Test,Administrator,Math,Spring,1,testadmin@school.edu,190,Below Basic,
2026MAPSPR1.0AsmPre,2025,052965,1188,0000000010,L0000000010,Trujillo,Anthony,Rodney,,2019-01-17,K,M,B,MAP,CBT,Test,Administrator,Reading,Spring,1,testadmin@school.edu,152,Below Basic,
2026MAPSPR1.0AsmPre,2025,052965,1188,0000000010,L0000000010,Trujillo,Anthony,Rodney,,2019-01-17,K,M,B,MAP,CBT,Test,Administrator,Math,Spring,1,testadmin@school.edu,162,Basic,
2026MAPSPR1.0AsmPre,2026,052965,6573,0000000010,L0000000010,Trujillo,Anthony,Rodney,,2019-01-17,01,M,B,MAP,CBT,Test,Administrator,Reading,Spring,1,testadmin@school.edu,160,Below Basic,
2026MAPSPR1.0AsmPre,2026,052965,6573,0000000010,L0000000010,Trujillo,Anthony,Rodney,,2019-01-17,01,M,B,MAP,CBT,Test,Administrator,Math,Spring,1,testadmin@school.edu,170,Below Basic,
2026MAPSPR1.0AsmPre,2025,032292,9201,0000000011,L0000000011,Lewis,Keith,Mitchell,,2018-02-18,02,M,W,MAP,CBT,Test,Administrator,Reading,Spring,1,testadmin@school.edu,204,Proficient,
2026MAPSPR1.0AsmPre,2025,032292,9201,0000000011,L0000000011,Lewis,Keith,Mitchell,,2018-02-18,02,M,W,MAP,CBT,Test,Administrator,Math,Spring,1,testadmin@school.edu,208,Proficient,
