CollectionVersion,CurrentSchoolYear,ReportingDistrictCode,ReportingSchoolCode,StateID,LocalStudentID,StudentLastName,StudentFirstName,StudentMiddleName,StudentNameSuffix,StudentDateOfBirth,StudentGradeLevel,StudentGender,StudentRaceEthn,AssignNum,DualCreditSite,ReceivingCollDistCode,SendDistCode,SendSchoolCode,EDSSN,PosCode,CTEProgType,Disadvantaged,IEPDisability,Adult,LocCourseNum,LocCourseName,LocSecNum,CourseNum
2026Oct1.0StuAssign,2025,012433,2679,0000000001,L0000000001,Walker,Alexander,Donald,,2018-12-09,02,M,W,1,,,,,399876548,01,,N,0,N,HR-001,Homeroom,A,
2026Oct1.0StuAssign,2025,012433,2679,0000000001,L0000000001,Walker,Alexander,Donald,,2018-12-09,02,M,W,2,,,,,545118241,01,,N,0,N,RD-001,Reading,A,
2026Oct1.0StuAssign,2025,012433,2679,0000000001,L0000000001,Walker,Alexander,Donald,,2018-12-09,02,M,W,3,,,,,234115840,01,,N,0,N,MA-001,Math,A,
2026Oct1.0StuAssign,2026,012433,2424,0000000001,L0000000001,Walker,Alexander,Donald,,2018-12-09,03,M,W,1,,,,,232708126,01,,N,0,N,HR-001,Homeroom,A,
2026Oct1.0StuAssign,2026,012433,2424,0000000001,L0000000001,Walker,Alexander,Donald,,2018-12-09,03,M,W,2,,,,,718031173,01,,N,0,N,RD-001,Reading,A,
2026Oct1.0StuAssign,2026,012433,2424,0000000001,L0000000001,Walker,Alexander,Donald,,2018-12-09,03,M,W,3,,,,,947956948,01,,N,0,N,MA-001,Math,A,
2026Oct1.0StuAssign,2024,006550,1434,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,PK,M,W,1,,,,,649081519,01,,N,0,N,HR-001,Homeroom,A,
2026Oct1.0StuAssign,2025,006550,9928,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,K,M,W,1,,,,,317896992,01,,N,0,N,HR-001,Homeroom,A,
2026Oct1.0StuAssign,2025,006550,9928,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,K,M,W,2,,,,,714238366,01,,N,0,N,RD-001,Reading,A,
2026Oct1.0StuAssign,2025,006550,9928,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,K,M,W,3,,,,,225049115,01,,N,0,N,MA-001,Math,A,
2026Oct1.0StuAssign,2026,006550,3615,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,01,M,W,1,,,,,333018640,01,,N,0,N,HR-001,Homeroom,A,
2026Oct1.0StuAssign,2026,006550,3615,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,01,M,W,2,,,,,416179208,01,,N,0,N,RD-001,Reading,A,
2026Oct1.0StuAssign,2026,006550,3615,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,01,M,W,3,,,,,280136618,01,,N,0,N,MA-001,Math,A,
2026Oct1.0StuAssign,2024,078176,6514,0000000003,L0000000003,Booth,Joann,Diana,,2020-03-12,PK,F,W,1,,,,,806374499,01,,N,0,N,HR-001,Homeroom,A,
2026Oct1.0StuAssign,2025,078176,6635,0000000003,L0000000003,Booth,Joann,Diana,,2020-03-12,PK,F,W,1,,,,,343988634,01,,N,0,N,HR-001,Homeroom,A,
2026Oct1.0StuAssign,2026,078176,8527,0000000003,L0000000003,Booth,Joann,Diana,,2020-03-12,K,F,W,1,,,,,226545565,01,,N,0,N,HR-001,Homeroom,A,
2026Oct1.0StuAssign,2026,078176,8527,0000000003,L0000000003,Booth,Joann,Diana,,2020-03-12,K,F,W,2,,,,,450887511,01,,N,0,N,RD-001,Reading,A,
2026Oct1.0StuAssign,2026,078176,8527,0000000003,L0000000003,Booth,Joann,Diana,,2020-03-12,K,F,W,3,,,,,328397984,01,,N,0,N,MA-001,Math,A,
2026Oct1.0StuAssign,2025,075920,6925,0000000004,L0000000004,Garcia,Daniel,Phillip,,2021-11-15,PK,M,W,1,,,,,138326090,01,,Y,0,N,HR-001,Homeroom,A,
2026Oct1.0StuAssign,2026,075920,4733,0000000004,L0000000004,Garcia,Daniel,Phillip,,2021-11-15,PK,M,W,1,,,,,561277630,01,,Y,0,N,HR-001,Homeroom,A,
2026Oct1.0StuAssign,2024,015446,4814,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,01,M,W,1,,,,,669291283,01,,Y,0,N,HR-001,Homeroom,A,
2026Oct1.0StuAssign,2024,015446,4814,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,01,M,W,2,,,,,387741361,01,,Y,0,N,RD-001,Reading,A,
2026Oct1.0StuAssign,2024,015446,4814,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,01,M,W,3,,,,,774072064,01,,Y,0,N,MA-001,Math,A,
2026Oct1.0StuAssign,2024,015446,4814,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,01,M,W,4,,,,,900363069,01,,Y,0,N,RD-INT,Reading Intervention,B,
2026Oct1.0StuAssign,2025,015446,6977,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,02,M,W,1,,,,,993805738,01,,Y,0,N,HR-001,Homeroom,A,
2026Oct1.0StuAssign,2025,015446,6977,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,02,M,W,2,,,,,270471284,01,,Y,0,N,RD-001,Reading,A,
2026Oct1.0StuAssign,2025,015446,6977,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,02,M,W,3,,,,,362511277,01,,Y,0,N,MA-001,Math,A,
2026Oct1.0StuAssign,2025,015446,6977,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,02,M,W,4,,,,,897491628,01,,Y,0,N,RD-INT,Reading Intervention,B,
2026Oct1.0StuAssign,2026,015446,5374,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,03,M,W,1,,,,,219379719,01,,Y,0,N,HR-001,Homeroom,A,
2026Oct1.0StuAssign,2026,015446,5374,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,03,M,W,2,,,,,968185236,01,,Y,0,N,RD-001,Reading,A,
2026Oct1.0StuAssign,2026,015446,5374,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,03,M,W,3,,,,,817512837,01,,Y,0,N,MA-001,Math,A,
2026Oct1.0StuAssign,2024,105779,3803,0000000006,L0000000006,Ray,Luke,Scott,,2020-05-08,PK,M,B,1,,,,,268077346,01,,N,0,N,HR-001,Homeroom,A,
2026Oct1.0StuAssign,2025,105779,5422,0000000006,L0000000006,Ray,Luke,Scott,,2020-05-08,PK,M,B,1,,,,,155131529,01,,N,0,N,HR-001,Homeroom,A,
