CollectionVersion,CurrentSchoolYear,AttendingDistrictCode,AttendingSchoolCode,ReportingDistrictCode,ReportingSchoolCode,ResidentDistrictCode,ResidentSchoolCode,StateID,LocalStudentID,LastName,FirstName,MiddleName,Suffix,DateOfBirth,StudentGradeLevel,Gender,RaceEthnicity,OffenseDate,OffenseType,WeaponType,DisciplineRemoval,LengthRemoved,ModifiedLength,API,LEPELL,IEPDisability
2026Jun1.0StuDiscipline,2024,049400,7543,049400,7543,049400,7543,0000000009,L0000000009,Mayo,Carla,Jamie,,2018-04-06,01,F,W,2023-11-12,N,,ISS,2,N,N,NLP,17
2026Jun1.0StuDiscipline,2025,046603,9540,046603,9540,046603,9540,0000000042,L0000000042,Clark,Brittney,Diane,,2019-03-18,K,F,W,2024-11-07,O,,ISS,2,N,N,NLP,0
2026Jun1.0StuDiscipline,2025,008106,1420,008106,1420,008106,1420,0000000051,L0000000051,Walker,Lori,Monica,,2018-08-26,02,F,W,2024-09-12,O,,ISS,2,N,N,NLP,0
2026Jun1.0StuDiscipline,2025,037240,9548,037240,9548,037240,9548,0000000054,L0000000054,Joyce,Richard,Jeffrey,,2019-12-15,K,M,W,2025-05-12,A,,OSS,1,N,N,NLP,0
2026Jun1.0StuDiscipline,2024,063126,5871,063126,5871,063126,5871,0000000062,L0000000062,Riggs,Brittany,Amber,,2018-05-25,01,F,W,2024-02-04,O,,EXP,160,N,N,NLP,0
2026Jun1.0StuDiscipline,2025,106249,9998,106249,9998,106249,9998,0000000070,L0000000070,Hernandez,Chris,James,,2018-10-16,02,M,W,2025-05-24,E,,OSS,2,N,N,NLP,0
2026Jun1.0StuDiscipline,2026,010115,5806,010115,5806,010115,5806,0000000077,L0000000077,Gibson,Jorge,Mark,,2019-11-25,01,F,W,2026-03-15,N,,OSS,9,N,N,NLP,0
2026Jun1.0StuDiscipline,2025,096593,2293,096593,2293,096593,2293,0000000078,L0000000078,Conley,Stephanie,Robert,,2018-09-15,02,F,W,2024-11-09,E,,EXP,31,N,N,NLP,0
2026Jun1.0StuDiscipline,2026,108237,5295,108237,5295,108237,5295,0000000085,L0000000085,Hamilton,Jason,John,,2018-09-02,03,M,W,2026-01-04,O,,OSS,9,N,N,NLP,0
2026Jun1.0StuDiscipline,2026,013153,2035,013153,2035,013153,2035,0000000086,L0000000086,Sheppard,Ryan,Jessica,,2018-09-27,03,F,W,2025-11-11,T,,ISS,3,N,N,NLP,0
2026Jun1.0StuDiscipline,2026,107694,9017,107694,9017,107694,9017,0000000088,L0000000088,Hudson,Shannon,Karen,,2019-10-05,01,F,B,2026-01-24,A,,EXP,144,N,N,NLP,0
2026Jun1.0StuDiscipline,2026,074334,4817,074334,4817,074334,4817,0000000092,L0000000092,Schmidt,Kevin,John,,2019-08-11,01,M,W,2025-09-05,E,,EXP,72,N,N,NLP,0
2026Jun1.0StuDiscipline,2025,091361,1641,091361,1641,091361,1641,0000000117,L0000000117,Gay,Andrea,Christopher,,2019-03-08,K,F,W,2024-11-12,V,,ISS,1,N,N,NLP,0
2026Jun1.0StuDiscipline,2025,097329,6236,097329,6236,097329,6236,0000000141,L0000000141,Mata,Carlos,Joshua,,2018-01-21,02,M,W,2025-02-01,A,,OSS,2,N,N,NLP,0
2026Jun1.0StuDiscipline,2025,056837,3616,056837,3616,056837,3616,0000000151,L0000000151,Rush,Donald,Walter,,2019-11-14,K,M,W,2025-03-27,A,,OSS,7,N,N,NLP,0
2026Jun1.0StuDiscipline,2026,013763,1111,013763,1111,013763,1111,0000000171,L0000000171,Moore,Nicole,,,2018-07-04,03,F,W,2026-01-10,O,,EXP,43,N,N,NLP,0
2026Jun1.0StuDiscipline,2026,022828,6890,022828,6890,022828,6890,0000000172,L0000000172,Nelson,John,Jeremy,,2021-12-15,PK,M,W,2025-11-12,O,,ISS,2,N,N,NLP,0
2026Jun1.0StuDiscipline,2026,020515,3444,020515,3444,020515,3444,0000000187,L0000000187,Hernandez,Marc,Thomas,,2018-11-25,03,F,A,2025-09-23,E,,ISS,2,N,N,RCV,0
2026Jun1.0StuDiscipline,2025,018141,9180,018141,9180,018141,9180,0000000212,L0000000212,Williams,Nicholas,Gary,,2019-03-01,K,M,W,2024-09-13,N,,ISS,2,N,N,NLP,0
2026Jun1.0StuDiscipline,2026,093648,4385,093648,4385,093648,4385,0000000228,L0000000228,Downs,Robert,Walter,,2018-07-05,03,M,W,2026-03-16,A,,ISS,2,N,N,NLP,0
2026Jun1.0StuDiscipline,2025,016211,7895,016211,7895,016211,7895,0000000244,L0000000244,Davis,Danielle,,,2018-08-04,02,F,I,2024-09-12,D,,ISS,1,N,N,NLP,12
2026Jun1.0StuDiscipline,2026,114027,8265,114027,8265,114027,8265,0000000266,L0000000266,Fitzpatrick,Amanda,,,2018-09-25,03,F,W,2025-11-20,O,,OSS,1,N,N,NLP,0
2026Jun1.0StuDiscipline,2026,054305,9231,054305,9231,054305,9231,0000000270,L0000000270,Nichols,Christopher,Audrey,,2018-02-24,03,F,W,2025-10-16,D,,OSS,6,N,N,NLP,0
2026Jun1.0StuDiscipline,2025,060959,6343,060959,6343,060959,6343,0000000291,L0000000291,Nunez,Elizabeth,,,2021-10-12,PK,F,W,2025-03-06,E,,EXP,154,N,N,NLP,0
2026Jun1.0StuDiscipline,2025,110974,2275,110974,2275,110974,2275,0000000370,L0000000370,Martinez,Wendy,Sharon,,2018-11-10,02,F,W,2025-01-11,T,,ISS,3,N,N,NLP,0
2026Jun1.0StuDiscipline,2026,108961,8899,108961,8899,108961,8899,0000000380,L0000000380,Rios,Holly,Jim,,2018-07-10,03,F,W,2026-02-27,A,,OSS,8,N,N,NLP,0
2026Jun1.0StuDiscipline,2026,038572,2477,038572,2477,038572,2477,0000000389,L0000000389,Oneal,Mark,Benjamin,,2020-05-04,01,M,W,2026-01-13,D,,OSS,5,N,N,NLP,0
2026Jun1.0StuDiscipline,2026,107379,2169,107379,2169,107379,2169,0000000417,L0000000417,Foster,Michael,Warren,,2019-01-20,01,M,W,2026-03-22,V,,ISS,2,N,N,NLP,0
2026Jun1.0StuDiscipline,2026,049800,6544,049800,6544,049800,6544,0000000422,L0000000422,Williams,Erin,,,2018-10-20,03,F,W,2026-03-04,E,,EXP,177,N,N,RCV,0
2026Jun1.0StuDiscipline,2025,016203,7348,016203,7348,016203,7348,0000000427,L0000000427,Cooper,Kimberly,,,2018-02-14,02,F,I,2024-09-11,D,,EXP,167,N,N,RCV,0
2026Jun1.0StuDiscipline,2025,091281,6163,091281,6163,091281,6163,0000000433,L0000000433,Cochran,Travis,Russell,,2018-10-09,02,M,W,2025-02-13,O,,EXP,85,N,N,NLP,0
2026Jun1.0StuDiscipline,2026,091265,1225,091265,1225,091265,1225,0000000444,L0000000444,Williams,Kristin,Jennifer,,2018-03-14,03,F,B,2025-11-28,E,,OSS,5,N,N,RCV,0
2026Jun1.0StuDiscipline,2025,028514,9784,028514,9784,028514,9784,0000000461,L0000000461,Sloan,Jonathan,Renee,,2021-06-21,PK,F,W,2025-03-15,N,,OSS,7,N,N,NLP,0
2026Jun1.0StuDiscipline,2025,113333,2481,113333,2481,113333,2481,0000000464,L0000000464,Hart,Teresa,Tammy,,2018-11-11,02,F,W,2025-01-06,D,,OSS,2,N,N,NLP,0
2026Jun1.0StuDiscipline,2026,095579,7235,095579,7235,095579,7235,0000000466,L0000000466,Morales,Lisa,Melanie,,2018-09-28,03,F,W,2026-04-06,V,,ISS,1,N,N,NLP,0
2026Jun1.0StuDiscipline,2024,079734,5705,079734,5705,079734,5705,0000000473,L0000000473,Maldonado,Jennifer,Tammy,,2018-05-16,01,F,W,2024-03-10,T,,OSS,7,N,N,NLP,0
