CollectionVersion,CurrentSchoolYear,AttendingDistrictCode,AttendingSchoolCode,ReportingDistrictCode,ReportingSchoolCode,ResidentDistrictCode,ResidentSchoolCode,StateID,LocalStudentID,LastName,FirstName,MiddleName,Suffix,DateOfBirth,StudentGradeLevel,ResidencyStatus,RegHrsAttended,RegHrsAbsent,RemHrsAttended,HrsInSession,SummerAttendance,SummerMembership,EntryDate,EntryCode,ExitDate,ExitCode,ExitDestDistrictCode,ExitDestSchoolCode,ExitDestComment,SchoolChoice,ExtSchlHours
2026Aug1.0StuEnrlAttnd,2025,012433,2679,012433,2679,012433,2679,0000000001,L0000000001,Walker,Alexander,Donald,,2018-12-09,02,R,1009,161,0,1170,0,0,2024-08-23,R101,2025-05-24,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,012433,2424,012433,2424,012433,2424,0000000001,L0000000001,Walker,Alexander,Donald,,2018-12-09,03,R,1012,158,0,1170,0,0,2025-08-28,R101,2026-05-28,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,006550,1434,006550,1434,006550,1434,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,PK,R,911,259,0,1170,0,0,2023-08-15,E100,2024-05-27,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,006550,9928,006550,9928,006550,9928,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,K,R,1060,110,0,1170,0,0,2024-08-18,R101,2025-05-26,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,006550,3615,006550,3615,006550,3615,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,01,R,1031,139,0,1170,0,0,2025-08-18,R101,2026-05-30,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,078176,6514,078176,6514,078176,6514,0000000003,L0000000003,Booth,Joann,Diana,,2020-03-12,PK,R,971,199,0,1170,0,0,2023-08-30,E100,2024-05-30,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,078176,6635,078176,6635,078176,6635,0000000003,L0000000003,Booth,Joann,Diana,,2020-03-12,PK,R,895,275,0,1170,0,0,2024-08-29,E100,2025-05-30,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,078176,8527,078176,8527,078176,8527,0000000003,L0000000003,Booth,Joann,Diana,,2020-03-12,K,R,1081,89,0,1170,0,0,2025-08-22,R101,2026-05-31,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,075920,6925,075920,6925,075920,6925,0000000004,L0000000004,Garcia,Daniel,Phillip,,2021-11-15,PK,R,842,328,0,1170,0,0,2024-08-23,E100,2025-05-20,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,075920,4733,075920,4733,075920,4733,0000000004,L0000000004,Garcia,Daniel,Phillip,,2021-11-15,PK,R,1006,164,0,1170,0,0,2025-08-17,E100,2026-05-29,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,015446,4814,015446,4814,015446,4814,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,01,R,1006,164,0,1170,0,0,2023-08-24,R101,2024-05-31,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,015446,6977,015446,6977,015446,6977,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,02,R,1011,159,0,1170,0,0,2024-08-25,R101,2025-05-30,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,015446,5374,015446,5374,015446,5374,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,03,R,777,393,0,1170,0,0,2025-08-30,R101,2026-05-24,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,105779,3803,105779,3803,105779,3803,0000000006,L0000000006,Ray,Luke,Scott,,2020-05-08,PK,R,1020,150,0,1170,0,0,2023-08-19,E100,2024-05-22,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,105779,5422,105779,5422,105779,5422,0000000006,L0000000006,Ray,Luke,Scott,,2020-05-08,PK,R,813,357,0,1170,0,0,2024-08-24,E100,2025-05-25,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,105779,4598,105779,4598,105779,4598,0000000006,L0000000006,Ray,Luke,Scott,,2020-05-08,K,R,1033,137,0,1170,0,0,2025-08-20,R101,2026-05-28,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,001725,6168,001725,6168,001725,6168,0000000007,L0000000007,Delacruz,Scott,,,2021-02-08,PK,R,1032,138,0,1170,0,0,2024-08-31,E100,2025-05-29,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,001725,6155,001725,6155,001725,6155,0000000007,L0000000007,Delacruz,Scott,,,2021-02-08,PK,R,911,259,0,1170,0,0,2025-08-29,E100,2026-05-20,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,013413,8517,013413,8517,013413,8517,0000000008,L0000000008,Miles,Heather,Meagan,,2021-06-14,PK,R,913,257,0,1170,0,0,2024-08-22,E100,2025-05-25,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,013413,9830,013413,9830,013413,9830,0000000008,L0000000008,Miles,Heather,Meagan,,2021-06-14,PK,R,921,249,0,1170,0,0,2025-08-17,E100,2026-05-28,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,049400,7543,049400,7543,049400,7543,0000000009,L0000000009,Mayo,Carla,Jamie,,2018-04-06,01,R,947,223,0,1170,0,0,2023-08-15,R101,2024-05-24,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,049400,3621,049400,3621,049400,3621,0000000009,L0000000009,Mayo,Carla,Jamie,,2018-04-06,03,R,919,251,0,1170,0,0,2025-08-20,R101,2026-05-24,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,052965,9669,052965,9669,052965,9669,0000000010,L0000000010,Trujillo,Anthony,Rodney,,2019-01-17,PK,R,1019,151,0,1170,0,0,2023-08-18,E100,2024-05-22,R001,,,,N,0
