CollectionVersion,CurrentSchoolYear,ReportingDistrictCode,ReportingSchoolCode,StateID,LocalStudentID,LastName,FirstName,MiddleName,Suffix,DateOfBirth,StudentGradeLevel,Gender,RaceEthnicity,Assessment,TstMethod,EDFirstName,EDLastName,Subject,Period,Sort,ExaminerEmail,CompositeScore,ProficiencyLevel
2026LEPELL1.0AsmPre,2025,006550,9928,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,K,M,W,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,1.8,Level 1-2: Entering/Emerging
2026LEPELL1.0AsmPre,2026,006550,3615,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,01,M,W,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,3.7,Level 3: Developing
2026LEPELL1.0AsmPre,2025,083371,5978,0000000061,L0000000061,Cardenas,Cynthia,Matthew,,2019-01-05,K,F,B,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,2.3,Level 1-2: Entering/Emerging
2026LEPELL1.0AsmPre,2026,083371,4697,0000000061,L0000000061,Cardenas,Cynthia,Matthew,,2019-01-05,01,F,B,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,2.5,Level 3: Developing
2026LEPELL1.0AsmPre,2024,108293,5653,0000000146,L0000000146,Walker,Kristina,Suzanne,,2018-06-18,01,F,W,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,3.5,Level 3: Developing
2026LEPELL1.0AsmPre,2025,108293,5496,0000000146,L0000000146,Walker,Kristina,Suzanne,,2018-06-18,02,F,W,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,3.8,Level 3: Developing
2026LEPELL1.0AsmPre,2026,108293,2530,0000000146,L0000000146,Walker,Kristina,Suzanne,,2018-06-18,03,F,W,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,2.6,Level 3: Developing
2026LEPELL1.0AsmPre,2025,093026,7070,0000000150,L0000000150,Cox,Jill,Cynthia,,2019-01-22,K,F,B,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,1.6,Level 1-2: Entering/Emerging
2026LEPELL1.0AsmPre,2026,093026,3308,0000000150,L0000000150,Cox,Jill,Cynthia,,2019-01-22,01,F,B,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,2.7,Level 3: Developing
2026LEPELL1.0AsmPre,2024,115484,5902,0000000156,L0000000156,Fox,Amy,Natalie,,2018-10-19,01,F,A,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,3.5,Level 3: Developing
2026LEPELL1.0AsmPre,2025,115484,9025,0000000156,L0000000156,Fox,Amy,Natalie,,2018-10-19,02,F,A,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,2.8,Level 3: Developing
2026LEPELL1.0AsmPre,2026,115484,1272,0000000156,L0000000156,Fox,Amy,Natalie,,2018-10-19,03,F,A,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,2.8,Level 3: Developing
2026LEPELL1.0AsmPre,2025,100519,9835,0000000181,L0000000181,Young,Robert,Robert,,2019-02-17,K,M,W,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,2.6,Level 3: Developing
2026LEPELL1.0AsmPre,2026,100519,3086,0000000181,L0000000181,Young,Robert,Robert,,2019-02-17,01,M,W,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,4.0,Level 4: Expanding
2026LEPELL1.0AsmPre,2024,020515,9120,0000000187,L0000000187,Hernandez,Marc,Thomas,,2018-11-25,01,F,A,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,3.1,Level 3: Developing
2026LEPELL1.0AsmPre,2025,020515,9592,0000000187,L0000000187,Hernandez,Marc,Thomas,,2018-11-25,02,F,A,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,2.7,Level 3: Developing
2026LEPELL1.0AsmPre,2026,020515,3444,0000000187,L0000000187,Hernandez,Marc,Thomas,,2018-11-25,03,F,A,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,2.8,Level 3: Developing
2026LEPELL1.0AsmPre,2024,108067,2320,0000000200,L0000000200,Solis,Tracy,Ruth,,2018-02-25,01,F,W,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,2.7,Level 3: Developing
2026LEPELL1.0AsmPre,2025,108067,2531,0000000200,L0000000200,Solis,Tracy,Ruth,,2018-02-25,02,F,W,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,3.7,Level 3: Developing
2026LEPELL1.0AsmPre,2026,108067,8798,0000000200,L0000000200,Solis,Tracy,Ruth,,2018-02-25,03,F,W,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,4.3,Level 4: Expanding
2026LEPELL1.0AsmPre,2025,006869,5037,0000000205,L0000000205,Guerra,Thomas,John,,2019-04-24,K,M,W,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,1.8,Level 1-2: Entering/Emerging
2026LEPELL1.0AsmPre,2026,006869,7383,0000000205,L0000000205,Guerra,Thomas,John,,2019-04-24,01,M,W,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,4.0,Level 4: Expanding
2026LEPELL1.0AsmPre,2024,035969,6277,0000000231,L0000000231,Bird,Laura,Julie,,2018-11-03,01,F,A,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,4.2,Level 4: Expanding
2026LEPELL1.0AsmPre,2025,035969,9019,0000000231,L0000000231,Bird,Laura,Julie,,2018-11-03,02,F,A,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,5.0,Level 5: Bridging
2026LEPELL1.0AsmPre,2026,035969,7146,0000000231,L0000000231,Bird,Laura,Julie,,2018-11-03,03,F,A,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,4.3,Level 4: Expanding
2026LEPELL1.0AsmPre,2026,089890,9336,0000000251,L0000000251,Wilson,William,Michael,,2020-07-12,K,M,W,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,2.3,Level 1-2: Entering/Emerging
2026LEPELL1.0AsmPre,2024,078311,4588,0000000271,L0000000271,French,Benjamin,Mary,,2018-01-06,01,F,W,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,3.6,Level 3: Developing
2026LEPELL1.0AsmPre,2025,078311,9674,0000000271,L0000000271,French,Benjamin,Mary,,2018-01-06,02,F,W,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,4.5,Level 4: Expanding
2026LEPELL1.0AsmPre,2026,078311,4813,0000000271,L0000000271,French,Benjamin,Mary,,2018-01-06,03,F,W,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,4.8,Level 4: Expanding
2026LEPELL1.0AsmPre,2026,044412,7415,0000000278,L0000000278,Brown,Matthew,Michael,,2020-01-15,K,M,W,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,2.5,Level 3: Developing
2026LEPELL1.0AsmPre,2026,077243,7858,0000000287,L0000000287,Andersen,Amy,Stephanie,,2020-03-14,K,F,A,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,2.6,Level 3: Developing
2026LEPELL1.0AsmPre,2025,018895,6236,0000000305,L0000000305,Campbell,John,Marc,,2019-07-25,K,F,W,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,1.7,Level 1-2: Entering/Emerging
2026LEPELL1.0AsmPre,2026,018895,7857,0000000305,L0000000305,Campbell,John,Marc,,2019-07-25,01,F,W,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,3.5,Level 3: Developing
2026LEPELL1.0AsmPre,2025,035452,3954,0000000311,L0000000311,May,Sabrina,Amber,,2019-05-04,K,F,W,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,2.1,Level 1-2: Entering/Emerging
2026LEPELL1.0AsmPre,2026,035452,1077,0000000311,L0000000311,May,Sabrina,Amber,,2019-05-04,01,F,W,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,2.7,Level 3: Developing
2026LEPELL1.0AsmPre,2026,022002,5308,0000000321,L0000000321,Frost,Brandon,Charles,,2020-03-09,K,F,W,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,2.4,Level 1-2: Entering/Emerging
2026LEPELL1.0AsmPre,2025,113999,5178,0000000347,L0000000347,Cuevas,Chris,,,2019-09-24,K,M,W,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,2.5,Level 3: Developing
2026LEPELL1.0AsmPre,2026,113999,1833,0000000347,L0000000347,Cuevas,Chris,,,2019-09-24,01,M,W,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,4.0,Level 4: Expanding
2026LEPELL1.0AsmPre,2024,016946,2702,0000000354,L0000000354,Diaz,Robert,Joshua,,2018-08-06,01,M,W,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,2.4,Level 1-2: Entering/Emerging
2026LEPELL1.0AsmPre,2025,016946,3519,0000000354,L0000000354,Diaz,Robert,Joshua,,2018-08-06,02,M,W,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,3.0,Level 3: Developing
2026LEPELL1.0AsmPre,2024,049357,4585,0000000368,L0000000368,Hudson,Lisa,Linda,,2018-01-07,01,F,W,WIDA ACCESS,CBT,ELL,Coordinator,English Language Proficiency,Winter,1,ellcoord@school.edu,2.4,Level 1-2: Entering/Emerging
