CollectionVersion,CurrentSchoolYear,ReportingDistrictCode,ReportingSchoolCode,StateID,LocalStudentID,LastName,FirstName,MiddleName,Suffix,DateOfBirth,StudentGradeLevel,Gender,RaceEthnicity,Assessment,TstMethod,EDFirstName,EDLastName,Subject,Period,Sort,ExaminerEmail,ScaleScore,PerformanceLevel,Grade3ReadingBand
2026MAPSPR1.0AsmPre,2025,012433,2679,0000000001,L0000000001,Walker,Alexander,Donald,,2018-12-09,02,M,W,MAP,CBT,Test,Administrator,Reading,Spring,1,testadmin@school.edu,202,Proficient,
2026MAPSPR1.0AsmPre,2025,012433,2679,0000000001,L0000000001,Walker,Alexander,Donald,,2018-12-09,02,M,W,MAP,CBT,Test,Administrator,Math,Spring,1,testadmin@school.edu,209,Proficient,
2026MAPSPR1.0AsmPre,2026,012433,2424,0000000001,L0000000001,Walker,Alexander,Donald,,2018-12-09,03,M,W,MAP,CBT,Test,Administrator,Reading,Spring,1,testadmin@school.edu,215,Proficient,On Grade Level
2026MAPSPR1.0AsmPre,2026,012433,2424,0000000001,L0000000001,Walker,Alexander,Donald,,2018-12-09,03,M,W,MAP,CBT,Test,Administrator,Math,Spring,1,testadmin@school.edu,225,Advanced,
2026MAPSPR1.0AsmPre,2025,006550,9928,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,K,M,W,MAP,CBT,Test,Administrator,Reading,Spring,1,testadmin@school.edu,177,Advanced,
2026MAPSPR1.0AsmPre,2025,006550,9928,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,K,M,W,MAP,CBT,Test,Administrator,Math,Spring,1,testadmin@school.edu,183,Advanced,
2026MAPSPR1.0AsmPre,2026,006550,1106,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,01,M,W,MAP,CBT,Test,Administrator,Reading,Spring,1,testadmin@school.edu,191,Advanced,
2026MAPSPR1.0AsmPre,2026,006550,1106,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,01,M,W,MAP,CBT,Test,Administrator,Math,Spring,1,testadmin@school.edu,188,Proficient,
2026MAPSPR1.0AsmPre,2026,078176,6635,0000000003,L0000000003,Booth,Joann,Diana,,2020-03-12,K,F,W,MAP,CBT,Test,Administrator,Reading,Spring,1,testadmin@school.edu,168,Proficient,
2026MAPSPR1.0AsmPre,2026,078176,6635,0000000003,L0000000003,Booth,Joann,Diana,,2020-03-12,K,F,W,MAP,CBT,Test,Administrator,Math,Spring,1,testadmin@school.edu,174,Advanced,
2026MAPSPR1.0AsmPre,2024,015446,6925,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,01,M,W,MAP,CBT,Test,Administrator,Reading,Spring,1,testadmin@school.edu,168,Below Basic,
2026MAPSPR1.0AsmPre,2024,015446,6925,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,01,M,W,MAP,CBT,Test,Administrator,Math,Spring,1,testadmin@school.edu,173,Below Basic,
2026MAPSPR1.0AsmPre,2026,015446,5741,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,03,M,W,MAP,CBT,Test,Administrator,Reading,Spring,1,testadmin@school.edu,193,Below Basic,Well Below Grade Level
2026MAPSPR1.0AsmPre,2026,015446,5741,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,03,M,W,MAP,CBT,Test,Administrator,Math,Spring,1,testadmin@school.edu,197,Below Basic,
2026MAPSPR1.0AsmPre,2026,105779,2169,0000000006,L0000000006,Ray,Luke,Scott,,2020-05-08,K,M,B,MAP,CBT,Test,Administrator,Reading,Spring,1,testadmin@school.edu,170,Advanced,
2026MAPSPR1.0AsmPre,2026,105779,2169,0000000006,L0000000006,Ray,Luke,Scott,,2020-05-08,K,M,B,MAP,CBT,Test,Administrator,Math,Spring,1,testadmin@school.edu,174,Advanced,
2026MAPSPR1.0AsmPre,2024,049400,6155,0000000009,L0000000009,Mayo,Carla,Jamie,,2018-04-06,01,F,W,MAP,CBT,Test,Administrator,Reading,Spring,1,testadmin@school.edu,164,Below Basic,
2026MAPSPR1.0AsmPre,2024,049400,6155,0000000009,L0000000009,Mayo,Carla,Jamie,,2018-04-06,01,F,W,MAP,CBT,Test,Administrator,Math,Spring,1,testadmin@school.edu,170,Below Basic,
2026MAPSPR1.0AsmPre,2025,049400,5339,0000000009,L0000000009,Mayo,Carla,Jamie,,2018-04-06,02,F,W,MAP,CBT,Test,Administrator,Reading,Spring,1,testadmin@school.edu,179,Below Basic,
2026MAPSPR1.0AsmPre,2025,049400,5339,0000000009,L0000000009,Mayo,Carla,Jamie,,2018-04-06,02,F,W,MAP,CBT,Test,Administrator,Math,Spring,1,testadmin@school.edu,182,Below Basic,
2026MAPSPR1.0AsmPre,2026,049400,7543,0000000009,L0000000009,Mayo,Carla,Jamie,,2018-04-06,03,F,W,MAP,CBT,Test,Administrator,Reading,Spring,1,testadmin@school.edu,185,Below Basic,Well Below Grade Level
2026MAPSPR1.0AsmPre,2026,049400,7543,0000000009,L0000000009,Mayo,Carla,Jamie,,2018-04-06,03,F,W,MAP,CBT,Test,Administrator,Math,Spring,1,testadmin@school.edu,193,Below Basic,
2026MAPSPR1.0AsmPre,2025,052965,2040,0000000010,L0000000010,Trujillo,Anthony,Rodney,,2019-01-17,K,M,B,MAP,CBT,Test,Administrator,Reading,Spring,1,testadmin@school.edu,158,Basic,
