CollectionVersion,CurrentSchoolYear,ReportingDistrictCode,ReportingSchoolCode,StateID,LocalStudentID,StudentLastName,StudentFirstName,StudentMiddleName,StudentNameSuffix,StudentDateOfBirth,StudentGradeLevel,StudentGender,StudentRaceEthn,AssignNum,DualCreditSite,ReceivingCollDistCode,SendDistCode,SendSchoolCode,EDSSN,PosCode,CTEProgType,Disadvantaged,IEPDisability,Adult,LocCourseNum,LocCourseName,LocSecNum,CourseNum
2026Oct1.0StuAssign,2025,012433,2679,0000000001,L0000000001,Walker,Alexander,Donald,,2018-12-09,02,M,W,1,,,,,819879919,01,,N,0,N,HR-001,Homeroom,A,
2026Oct1.0StuAssign,2025,012433,2679,0000000001,L0000000001,Walker,Alexander,Donald,,2018-12-09,02,M,W,2,,,,,851858763,01,,N,0,N,RD-001,Reading,A,
2026Oct1.0StuAssign,2025,012433,2679,0000000001,L0000000001,Walker,Alexander,Donald,,2018-12-09,02,M,W,3,,,,,432016488,01,,N,0,N,MA-001,Math,A,
2026Oct1.0StuAssign,2026,012433,2424,0000000001,L0000000001,Walker,Alexander,Donald,,2018-12-09,03,M,W,1,,,,,546366231,01,,N,0,N,HR-001,Homeroom,A,
2026Oct1.0StuAssign,2026,012433,2424,0000000001,L0000000001,Walker,Alexander,Donald,,2018-12-09,03,M,W,2,,,,,472707098,01,,N,0,N,RD-001,Reading,A,
2026Oct1.0StuAssign,2026,012433,2424,0000000001,L0000000001,Walker,Alexander,Donald,,2018-12-09,03,M,W,3,,,,,799653605,01,,N,0,N,MA-001,Math,A,
2026Oct1.0StuAssign,2026,012433,2424,0000000001,L0000000001,Walker,Alexander,Donald,,2018-12-09,03,M,W,4,,,,,224339660,01,,N,0,N,RD-INT,Reading Intervention,B,
2026Oct1.0StuAssign,2024,006550,1434,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,PK,M,W,1,,,,,188462098,01,,N,0,N,HR-001,Homeroom,A,
2026Oct1.0StuAssign,2025,006550,9928,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,K,M,W,1,,,,,565477426,01,,N,0,N,HR-001,Homeroom,A,
2026Oct1.0StuAssign,2025,006550,9928,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,K,M,W,2,,,,,810808252,01,,N,0,N,RD-001,Reading,A,
2026Oct1.0StuAssign,2025,006550,9928,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,K,M,W,3,,,,,310620296,01,,N,0,N,MA-001,Math,A,
2026Oct1.0StuAssign,2026,006550,1106,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,01,M,W,1,,,,,766370299,01,,N,0,N,HR-001,Homeroom,A,
2026Oct1.0StuAssign,2026,006550,1106,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,01,M,W,2,,,,,316386284,01,,N,0,N,RD-001,Reading,A,
2026Oct1.0StuAssign,2026,006550,1106,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,01,M,W,3,,,,,209094065,01,,N,0,N,MA-001,Math,A,
2026Oct1.0StuAssign,2024,078176,5552,0000000003,L0000000003,Booth,Joann,Diana,,2020-03-12,PK,F,W,1,,,,,705176642,01,,N,0,N,HR-001,Homeroom,A,
2026Oct1.0StuAssign,2025,078176,2519,0000000003,L0000000003,Booth,Joann,Diana,,2020-03-12,PK,F,W,1,,,,,598084893,01,,N,0,N,HR-001,Homeroom,A,
2026Oct1.0StuAssign,2026,078176,6635,0000000003,L0000000003,Booth,Joann,Diana,,2020-03-12,K,F,W,1,,,,,363459512,01,,N,0,N,HR-001,Homeroom,A,
2026Oct1.0StuAssign,2026,078176,6635,0000000003,L0000000003,Booth,Joann,Diana,,2020-03-12,K,F,W,2,,,,,899136949,01,,N,0,N,RD-001,Reading,A,
2026Oct1.0StuAssign,2026,078176,6635,0000000003,L0000000003,Booth,Joann,Diana,,2020-03-12,K,F,W,3,,,,,343106625,01,,N,0,N,MA-001,Math,A,
2026Oct1.0StuAssign,2025,075920,9785,0000000004,L0000000004,Garcia,Daniel,Phillip,,2021-11-15,PK,M,W,1,,,,,151668957,01,,Y,0,N,HR-001,Homeroom,A,
2026Oct1.0StuAssign,2026,075920,5803,0000000004,L0000000004,Garcia,Daniel,Phillip,,2021-11-15,PK,M,W,1,,,,,807058823,01,,Y,0,N,HR-001,Homeroom,A,
2026Oct1.0StuAssign,2024,015446,6925,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,01,M,W,1,,,,,644111205,01,,Y,0,N,HR-001,Homeroom,A,
2026Oct1.0StuAssign,2024,015446,6925,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,01,M,W,2,,,,,531748249,01,,Y,0,N,RD-001,Reading,A,
2026Oct1.0StuAssign,2024,015446,6925,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,01,M,W,3,,,,,647003103,01,,Y,0,N,MA-001,Math,A,
2026Oct1.0StuAssign,2026,015446,5741,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,03,M,W,1,,,,,769541081,01,,Y,0,N,HR-001,Homeroom,A,
2026Oct1.0StuAssign,2026,015446,5741,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,03,M,W,2,,,,,618470308,01,,Y,0,N,RD-001,Reading,A,
2026Oct1.0StuAssign,2026,015446,5741,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,03,M,W,3,,,,,629494068,01,,Y,0,N,MA-001,Math,A,
2026Oct1.0StuAssign,2024,105779,7227,0000000006,L0000000006,Ray,Luke,Scott,,2020-05-08,PK,M,B,1,,,,,574652472,01,,N,0,N,HR-001,Homeroom,A,
2026Oct1.0StuAssign,2025,105779,7065,0000000006,L0000000006,Ray,Luke,Scott,,2020-05-08,PK,M,B,1,,,,,843605640,01,,N,0,N,HR-001,Homeroom,A,
