CollectionVersion,CurrentSchoolYear,AttendingDistrictCode,AttendingSchoolCode,ReportingDistrictCode,ReportingSchoolCode,ResidentDistrictCode,ResidentSchoolCode,StateID,LocalStudentID,LastName,FirstName,MiddleName,Suffix,DateOfBirth,StudentGradeLevel,Gender,RaceEthnicity,OffenseDate,OffenseType,WeaponType,DisciplineRemoval,LengthRemoved,ModifiedLength,API,LEPELL,IEPDisability
2026Jun1.0StuDiscipline,2025,001725,3677,001725,3677,001725,3677,0000000007,L0000000007,Delacruz,Scott,,,2021-02-08,PK,M,W,2024-11-06,V,,OSS,7,N,N,NLP,4
2026Jun1.0StuDiscipline,2026,064453,7049,064453,7049,064453,7049,0000000031,L0000000031,Morales,Todd,Jason,,2018-11-28,03,F,W,2026-03-02,O,,EXP,17,N,N,NLP,6
2026Jun1.0StuDiscipline,2026,037622,6663,037622,6663,037622,6663,0000000037,L0000000037,Anderson,Leon,Joseph,,2018-10-28,03,F,W,2026-03-03,N,,EXP,126,N,N,NLP,0
2026Jun1.0StuDiscipline,2024,037240,6733,037240,6733,037240,6733,0000000054,L0000000054,Joyce,Richard,Jeffrey,,2019-12-15,PK,M,W,2023-10-12,E,,EXP,142,N,N,NLP,0
2026Jun1.0StuDiscipline,2026,096593,7284,096593,7284,096593,7284,0000000078,L0000000078,Conley,Stephanie,Robert,,2018-09-15,03,F,W,2026-02-14,O,,ISS,2,N,N,NLP,0
2026Jun1.0StuDiscipline,2025,031330,3529,031330,3529,031330,3529,0000000083,L0000000083,Garcia,Melissa,Lori,,2018-12-25,03,F,W,2024-12-09,V,,ISS,3,N,N,NLP,0
2026Jun1.0StuDiscipline,2026,055005,5295,055005,5295,055005,5295,0000000096,L0000000096,Hill,Alexis,Kimberly,,2019-11-22,01,F,W,2026-02-10,T,,EXP,65,N,N,NLP,0
2026Jun1.0StuDiscipline,2026,097329,4893,097329,4893,097329,4893,0000000141,L0000000141,Mata,Carlos,Joshua,,2018-01-21,03,M,W,2026-01-14,W,,ISS,2,N,N,NLP,0
2026Jun1.0StuDiscipline,2025,095567,7338,095567,7338,095567,7338,0000000144,L0000000144,Herrera,Krystal,Alexander,,2018-08-15,02,F,W,2024-11-18,W,,ISS,3,N,N,NLP,0
2026Jun1.0StuDiscipline,2025,108293,8498,108293,8498,108293,8498,0000000146,L0000000146,Walker,Kristina,Suzanne,,2018-06-18,02,F,W,2024-11-20,N,,EXP,55,N,N,RCV,0
