CollectionVersion,CurrentSchoolYear,AttendingDistrictCode,AttendingSchoolCode,ReportingDistrictCode,ReportingSchoolCode,ResidentDistrictCode,ResidentSchoolCode,StateID,LocalStudentID,LastName,FirstName,MiddleName,Suffix,DateOfBirth,StudentGradeLevel,ResidencyStatus,RegHrsAttended,RegHrsAbsent,RemHrsAttended,HrsInSession,SummerAttendance,SummerMembership,EntryDate,EntryCode,ExitDate,ExitCode,ExitDestDistrictCode,ExitDestSchoolCode,ExitDestComment,SchoolChoice,ExtSchlHours
2026Aug1.0StuEnrlAttnd,2025,012433,2679,012433,2679,012433,2679,0000000001,L0000000001,Walker,Alexander,Donald,,2018-12-09,02,R,1011,159,0,1170,0,0,2024-08-25,R101,2025-05-28,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,012433,2424,012433,2424,012433,2424,0000000001,L0000000001,Walker,Alexander,Donald,,2018-12-09,03,R,999,171,0,1170,0,0,2025-08-29,R101,2026-05-29,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,006550,1434,006550,1434,006550,1434,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,PK,R,1134,36,0,1170,0,0,2023-08-25,E100,2024-05-28,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,006550,9928,006550,9928,006550,9928,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,K,R,1128,42,0,1170,0,0,2024-08-23,R101,2025-05-22,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,006550,1106,006550,1106,006550,1106,0000000002,L0000000002,Robinson,Javier,Allen,,2019-06-04,01,R,1133,37,0,1170,0,0,2025-08-23,R101,2026-05-29,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,078176,5552,078176,5552,078176,5552,0000000003,L0000000003,Booth,Joann,Diana,,2020-03-12,PK,R,1149,21,0,1170,0,0,2023-08-25,E100,2024-05-22,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,078176,2519,078176,2519,078176,2519,0000000003,L0000000003,Booth,Joann,Diana,,2020-03-12,PK,R,1147,23,0,1170,0,0,2024-08-20,E100,2025-05-25,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,078176,6635,078176,6635,078176,6635,0000000003,L0000000003,Booth,Joann,Diana,,2020-03-12,K,R,1130,40,0,1170,0,0,2025-08-28,R101,2026-05-20,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,075920,9785,075920,9785,075920,9785,0000000004,L0000000004,Garcia,Daniel,Phillip,,2021-11-15,PK,R,976,194,0,1170,0,0,2024-08-15,E100,2025-05-29,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,075920,5803,075920,5803,075920,5803,0000000004,L0000000004,Garcia,Daniel,Phillip,,2021-11-15,PK,R,876,294,0,1170,0,0,2025-08-18,E100,2026-05-28,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,015446,6925,015446,6925,015446,6925,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,01,R,948,222,0,1170,0,0,2023-08-23,R101,2024-05-20,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,015446,5741,015446,5741,015446,5741,0000000005,L0000000005,Herrera,Robert,Nicholas,,2018-11-24,03,R,886,284,0,1170,0,0,2025-08-18,R101,2026-05-25,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,105779,7227,105779,7227,105779,7227,0000000006,L0000000006,Ray,Luke,Scott,,2020-05-08,PK,R,994,176,0,1170,0,0,2023-08-24,E100,2024-05-31,R001,,,,N,0
